,Unnamed: 0,category,event_ticker,mutually_exclusive,series_ticker,strike_date,strike_period,sub_title,title,discriminator,volume
18,38,Financials,INXW-22AUG12,True,INXW,,,"On August 12, 2022","What will the value of the S&P 500 be at the end of August 12, 2022",,9475978.0
19,15,Economics,CPI-22AUG,False,CPI,,,In August 2022,What will **CPI inflation** be in August?,,9306009.0
20,46,Financials,INXW-22JUN17,True,INXW,,,"On June 17, 2022","What will the value of the S&P 500 be at the end of June 17, 2022",,8959068.0
21,36,Financials,INXW-22AUG26,True,INXW,,,"On August 26, 2022","What will the value of the S&P 500 be at the end of August 26, 2022",,8912125.0
22,45,Financials,INXW-22JUN24,True,INXW,,,"On June 24, 2022","What will the value of the S&P 500 be at the end of June 24, 2022",,8867553.0
23,42,Financials,INXW-22JUL15,True,INXW,,,"On July 15, 2022","What will the value of the S&P 500 be at the end of July 15, 2022",,8443979.0
24,47,Financials,NASDAQ100W-22JUL01,True,NASDAQ100W,,,"On July 01, 2022","What will the value of the Nasdaq-100 be at the end of July 01, 2022",,8371957.0
25,35,Financials,INXW-22SEP02,True,INXW,,,"On September 02, 2022","What will the value of the S&P 500 be at the end of September 02, 2022",,8199413.0
26,39,Financials,NASDAQ100W-22AUG26,True,NASDAQ100W,,,"On August 26, 2022","What will the value of the Nasdaq-100 be at the end of August 26, 2022",,8133400.0
27,41,Financials,INXW-22JUL22,True,INXW,,,"On July 22, 2022","What will the value of the S&P 500 be at the end of July 22, 2022",,7945000.0
28,40,Financials,INXD-22JUL29,True,INXD,,,"On July 29, 2022","What will the value of the S&P 500 be at the end of July 29, 2022",,7940765.0
29,37,Financials,INXW-22AUG19,True,INXW,,,"On August 19, 2022","What will the value of the S&P 500 be at the end of August 19, 2022",,7904501.0
30,31,Financials,INXW-22SEP30,True,INXW,,,"On Sep 30, 2022","What will the value of the S&P 500 be at the end of Sep 30, 2022",,7635424.0
31,42,Financials,NASDAQ100W-22AUG05,True,NASDAQ100W,,,"On August 05, 2022","What will the value of the Nasdaq-100 be at the end of August 05, 2022",,7612532.0
32,38,Financials,NASDAQ100W-22SEP02,True,NASDAQ100W,,,"On September 02, 2022","What will the value of the Nasdaq-100 be at the end of September 02, 2022",,7583222.0
33,47,Financials,INXW-22JUN10,True,INXW,,,"On June 10, 2022","What will the value of the S&P 500 be at the end of June 10, 2022",,7468844.0
34,32,Financials,INXW-22SEP23,True,INXW,,,"On September 23, 2022","What will the value of the S&P 500 be at the end of September 23, 2022",,6898978.0
35,43,Financials,INXW-22JUL08,True,INXW,,,"On July 08, 2022","What will the value of the S&P 500 be at the end of July 08, 2022",,6895353.0
36,4,Economics,GDP-22SEP30,False,GDP,,,In 2022 Q3,US GDP,,6864793.0
37,7,Economics,FED-23FEB,False,FED,2023-02-01T12:00:00Z,,February 2023 meeting,How much will the Federal Reserve increase interest rates?,,6642637.0
38,18,Economics,CPI-22MAY,False,CPI,,,In May 2022,What will **CPI inflation** be in May?,,6099724.0
39,50,Financials,NASDAQ100W-22JUN10,True,NASDAQ100W,,,"On June 10, 2022","What will the value of the Nasdaq-100 be at the end of June 10, 2022",,5763548.0
40,46,Financials,NASDAQ100W-22JUL08,True,NASDAQ100W,,,"On July 08, 2022","What will the value of the Nasdaq-100 be at the end of July 08, 2022",,5362334.0
41,49,Financials,INXW-22MAY27,True,INXW,,,"On May 27, 2022","What will the value of the S&P 500 be at the end of May 27, 2022",,5294791.0
42,14,Economics,CPI-22SEP,False,CPI,,,In September 2022,What will **CPI inflation** be in September?,,5150137.0
43,30,Financials,INXW-22OCT07,True,INXW,,,"On Oct 7, 2022","What will the value of the S&P 500 be at the end of Oct 7, 2022",,4842803.0
44,44,Financials,NASDAQ100W-22JUL22,True,NASDAQ100W,,,"On July 22, 2022","What will the value of the Nasdaq-100 be at the end of July 22, 2022",,4839778.0
45,41,Financials,NASDAQ100W-22AUG12,True,NASDAQ100W,,,"On August 12, 2022","What will the value of the Nasdaq-100 be at the end of August 12, 2022",,4665384.0
46,11,Financials,INXW-23MAR10,True,INXW,2023-03-10T21:00:00Z,,"On Mar 10, 2023","What will the value of the S&P 500 be at the end of Mar 10, 2023",,4640691.0
47,49,Financials,NASDAQ100W-22JUN17,True,NASDAQ100W,,,"On June 17, 2022","What will the value of the Nasdaq-100 be at the end of June 17, 2022",,4483413.0
48,1,Financials,NASDAQ100Y-22DEC30,False,NASDAQ100Y,2022-12-30T12:00:00Z,,"On December 30, 2022","What will the value of the Nasdaq-100 be at the end of December 30, 2022",,4422748.0
49,34,Financials,INXW-22SEP09,True,INXW,,,"On September 09, 2022","What will the value of the S&P 500 be at the end of September 09, 2022",,4340465.0
50,0,Financials,NASDAQ100Y-23DEC29,True,NASDAQ100Y,2023-12-29T12:00:00Z,,"On Dec 29, 2023","What will the value of the Nasdaq-100 be at the end of Dec 29, 2023",,4145120.0
51,51,Financials,NASDAQ100W-22JUN03,True,NASDAQ100W,,,"On June 03, 2022","What will the value of the Nasdaq-100 be at the end of June 03, 2022",,3952273.0
52,5,Economics,GDP-22JUN30,False,GDP,,,In 2022 Q2,US GDP,,3811107.0
54,51,Financials,INXW-22MAY06,True,INXW,,,"On May 06, 2022","What will the value of the S&P 500 be at the end of May 06, 2022",,3735484.0
55,43,Financials,NASDAQ100W-22JUL29,True,NASDAQ100W,,,"On July 29, 2022","What will the value of the Nasdaq-100 be at the end of July 29, 2022",,3713895.0
56,2,Financials,NASDAQ100W-23MAY12,True,NASDAQ100W,2023-05-12T20:00:00Z,,"On May 12, 2023","What will the value of the Nasdaq-100 be at the end of May 12, 2023",,3539033.0
57,35,Financials,NASDAQ100W-22SEP23,True,NASDAQ100W,,,"On September 23, 2022","What will the value of the Nasdaq-100 be at the end of September 23, 2022",,3401102.0
58,10,Financials,INXW-23MAR17,True,INXW,2023-03-17T21:00:00Z,,"On Mar 17, 2023","What will the value of the S&P 500 be at the end of Mar 17, 2023",,3326577.0
59,4,Economics,FED-23JUN,False,FED,2023-06-14T12:00:00Z,,June 2023 meeting,How much will the Federal Reserve increase interest rates?,,3246440.0
60,34,Financials,NASDAQ100W-22SEP30,True,NASDAQ100W,,,"On Sep 30, 2022","What will the value of the Nasdaq-100 be at the end of Sep 30, 2022",,3115837.0
61,20,Economics,CPI-22MAR,False,CPI,,,In March 2022,What will **CPI inflation** be in March 2022?,,3079402.0
62,45,Financials,NASDAQ100W-22JUL15,True,NASDAQ100W,,,"On July 15, 2022","What will the value of the Nasdaq-100 be at the end of July 15, 2022",,3017326.0
63,11,Financials,NASDAQ100W-23MAR10,True,NASDAQ100W,2023-03-10T21:00:00Z,,"On Mar 10, 2023","What will the value of the Nasdaq-100 be at the end of Mar 10, 2023",,2881030.0
64,48,Financials,NASDAQ100W-22JUN24,True,NASDAQ100W,,,"On June 24, 2022","What will the value of the Nasdaq-100 be at the end of June 24, 2022",,2767982.0
65,13,Economics,CPI-22OCT,False,CPI,,,In October 2022,What will **CPI inflation** be in October?,,2745893.0
66,37,Financials,NASDAQ100W-22SEP09,True,NASDAQ100W,,,"On September 09, 2022","What will the value of the Nasdaq-100 be at the end of September 09, 2022",,2731178.0
67,55,Financials,NASDAQ100W-22MAY06,True,NASDAQ100W,,,"On May 06, 2022","What will the value of the Nasdaq-100 be at the end of May 06, 2022",,2668364.0
68,6,Economics,GDP-22MAR31,False,GDP,,,In 2022 Q1,Will **real GDP** increase by more than 2.5% in Q1 2022?,,2661573.0
69,48,Financials,INXD-22JUN03,True,INXD,,,"On June 03, 2022","What will the value of the S&P 500 be at the end of June 03, 2022",,2622806.0
70,12,Economics,CPI-22NOV,False,CPI,,,In November 2022,What will **CPI inflation** be in November?,,2439762.0
71,12,Financials,NASDAQ100W-23MAR03,True,NASDAQ100W,2023-03-03T21:00:00Z,,"On Mar 3, 2023","What will the value of the Nasdaq-100 be at the end of Mar 3, 2023",,2390072.0
72,13,Financials,INXW-23FEB24,True,INXW,2023-02-24T21:00:00Z,,"On Feb 24, 2023","What will the value of the S&P 500 be at the end of Feb 24, 2023",,2317513.0
73,23,Economics,CPI-21DEC,False,CPI,,,In December 2021,What will **December's inflation** be?,,2195752.0
74,16,Financials,INXW-23FEB03,True,INXW,2023-02-03T21:00:00Z,,"On Feb 3, 2023","What will the value of the S&P 500 be at the end of Feb 3, 2023",,2177189.0
75,33,Financials,NASDAQ100W-22OCT07,True,NASDAQ100W,,,"On Oct 7, 2022","What will the value of the Nasdaq-100 be at the end of Oct 7, 2022",,2130362.0
76,9,Financials,INXW-23MAR24,True,INXW,2023-03-24T20:00:00Z,,"On Mar 24, 2023","What will the value of the S&P 500 be at the end of Mar 24, 2023",,2060545.0
77,42,Financials,WTI-23MAR13,True,WTI,2023-03-13T19:30:00Z,,"On Mar 13, 2023","What will the West Texas Intermediate oil front-month settle price be for Mar 13, 2023?",,2057776.0
78,50,Financials,INXW-22MAY20,True,INXW,,,"On May 20, 2022","What will the value of the S&P 500 be at the end of May 20, 2022",,2035335.0
79,36,Financials,NASDAQ100W-22SEP16,True,NASDAQ100W,,,"On September 16, 2022","What will the value of the Nasdaq-100 be at the end of September 16, 2022",,2032186.0
80,0,Economics,TERMINALRATE-23DEC31,True,TERMINALRATE,,2023,In 2023,What will the highest fed funds rate be in 2023?,,2009621.0
81,40,Financials,NASDAQ100W-22AUG19,True,NASDAQ100W,,,"On August 19, 2022","What will the value of the Nasdaq-100 be at the end of August 19, 2022",,1969894.0
82,2,Financials,INXW-23MAY12,True,INXW,2023-05-12T20:00:00Z,,"On May 12, 2023","What will the value of the S&P 500 be at the end of May 12, 2023",,1851129.0
83,12,Financials,WTIW-23FEB24,True,WTIW,2023-02-24T19:30:00Z,,"On Feb 24, 2023","What will the West Texas Intermediate oil front-month settle price be for Feb 24, 2023?",,1845481.0
84,6,Financials,NASDAQ100W-23APR14,True,NASDAQ100W,2023-04-14T20:00:00Z,,"On Apr 14, 2023","What will the value of the Nasdaq-100 be at the end of Apr 14, 2023",,1840813.0
85,29,Financials,INXW-22OCT14,True,INXW,,,"On Oct 14, 2022","What will the value of the S&P 500 be at the end of Oct 14, 2022",,1821797.0
86,28,Financials,INXW-22OCT21,True,INXW,,,"On Oct 21, 2022","What will the value of the S&P 500 be at the end of Oct 21, 2022",,1781262.0
87,27,Financials,INXW-22NOV18,True,INXW,,,"On Nov 18, 2022","What will the value of the S&P 500 be at the end of Nov 18, 2022",,1757386.0
88,12,Financials,INXW-23MAR03,True,INXW,2023-03-03T21:00:00Z,,"On Mar 3, 2023","What will the value of the S&P 500 be at the end of Mar 3, 2023",,1741616.0
89,24,Financials,INXW-22DEC09,True,INXW,,,"On Dec 9, 2022","What will the value of the S&P 500 be at the end of Dec 9, 2022",,1722737.0
90,1,Economics,FEDDECISION-23MAY,True,FEDDECISION,2023-05-03T18:00:00Z,,May 2023 meeting,What will the Federal Reserve do at their May 2023 meeting?,,1632502.0
91,54,Financials,NASDAQ100D-22MAY13,True,NASDAQ100D,,,"On May 13, 2022","What will the value of the Nasdaq-100 be at the end of May 13, 2022",,1555556.0
92,52,Financials,NASDAQ100W-22MAY27,True,NASDAQ100W,,,"On May 27, 2022","What will the value of the Nasdaq-100 be at the end of May 27, 2022",,1534592.0
93,0,Economics,NGASMAX-23DEC29,False,NGASMAX,,1/03/2023-12/29/2023,"Jan 03 to Dec 29, 2023",What will the price of natural gas be in 2023?,,1531799.0
94,53,Financials,NASDAQ100W-22MAY20,True,NASDAQ100W,,,"On May 20, 2022","What will the value of the Nasdaq-100 be at the end of May 20, 2022",,1530917.0
95,3,Financials,NASDAQ100W-23MAY05,True,NASDAQ100W,2023-05-05T20:00:00Z,,"On May 5, 2023","What will the value of the Nasdaq-100 be at the end of May 5, 2023",,1498488.0
96,7,Economics,GDP-21DEC31,False,GDP,,,In 2021 Q4,How much will **real GDP** rise in Q4 2021?,,1457295.0
97,8,Financials,INXW-23MAR31,True,INXW,2023-03-31T20:00:00Z,,"On Mar 31, 2023","What will the value of the S&P 500 be at the end of Mar 31, 2023",,1331484.0
98,24,Financials,NASDAQ100W-22DEC09,True,NASDAQ100W,,,"On Dec 9, 2022","What will the value of the Nasdaq-100 be at the end of Dec 9, 2022",,1317320.0
99,8,Financials,NASDAQ100W-23MAR31,True,NASDAQ100W,2023-03-31T20:00:00Z,,"On Mar 31, 2023","What will the value of the Nasdaq-100 be at the end of Mar 31, 2023",,1315400.0
100,31,Financials,NASDAQ100W-22OCT21,True,NASDAQ100W,,,"On Oct 21, 2022","What will the value of the Nasdaq-100 be at the end of Oct 21, 2022",,1303851.0
101,22,Financials,INXW-22DEC23,True,INXW,2022-12-23T12:00:00Z,,"On Dec 23, 2022","What will the value of the S&P 500 be at the end of Dec 23, 2022",,1277800.0
102,56,Financials,EURUSDH-23MAR0115,False,EURUSDH,2023-03-01T20:00:00Z,,"Mar 1, 2023 at 3pm EST","What will the Euro/USD exchange rate be on Mar 1, 2023 at 3pm EST?",,1277205.0
103,0,Economics,ACPI-2023,True,ACPI,,2023,In 2023,What will **inflation** be in 2023?,,1273228.0
104,4,Financials,NASDAQ100W-23APR28,True,NASDAQ100W,2023-04-28T20:00:00Z,,"On Apr 28, 2023","What will the value of the Nasdaq-100 be at the end of Apr 28, 2023",,1260456.0
105,52,Economics,INXW-22APR29,False,INXW,,,"On April 29, 2022","What will the value of the S&P 500 be at the end of April 29, 2022",,1251637.0
106,13,Financials,NASDAQ100W-23FEB24,True,NASDAQ100W,2023-02-24T21:00:00Z,,"On Feb 24, 2023","What will the value of the Nasdaq-100 be at the end of Feb 24, 2023",,1247476.0
107,3,Economics,FED-23JUL,False,FED,2023-07-26T12:00:00Z,,July 2023 meeting,How much will the Federal Reserve increase interest rates?,,1159441.0
108,15,Financials,INXW-23FEB10,True,INXW,2023-02-10T21:00:00Z,,"On Feb 10, 2023","What will the value of the S&P 500 be at the end of Feb 10, 2023",,1154657.0
109,7,Financials,INXW-23APR06,True,INXW,2023-04-06T20:00:00Z,,"On Apr 6, 2023","What will the value of the S&P 500 be at the end of Apr 6, 2023",,1114957.0
110,10,Financials,NASDAQ100W-23MAR17,True,NASDAQ100W,2023-03-17T21:00:00Z,,"On Mar 17, 2023","What will the value of the Nasdaq-100 be at the end of Mar 17, 2023",,1103929.0
111,3,Financials,INXW-23MAY05,True,INXW,2023-05-05T20:00:00Z,,"On May 5, 2023","What will the value of the S&P 500 be at the end of May 5, 2023",,1069367.0
112,59,Financials,EURUSDH-23FEB2815,False,EURUSDH,2023-02-28T20:00:00Z,,"Feb 28, 2023 at 3pm EST","What will the Euro/USD exchange rate be on Feb 28, 2023 at 3pm EST?",,1015320.0
113,9,Financials,NASDAQ100W-23MAR24,True,NASDAQ100W,2023-03-24T20:00:00Z,,"On Mar 24, 2023","What will the value of the Nasdaq-100 be at the end of Mar 24, 2023",,1012222.0
114,6,Financials,INXW-23APR14,True,INXW,2023-04-14T20:00:00Z,,"On Apr 14, 2023","What will the value of the S&P 500 be at the end of Apr 14, 2023",,973090.0
115,5,Financials,NASDAQ100W-23APR21,True,NASDAQ100W,2023-04-21T20:00:00Z,,"On Apr 21, 2023","What will the value of the Nasdaq-100 be at the end of Apr 21, 2023",,964284.0
116,7,Economics,CPI-23APR,False,CPI,,April 2023,In April 2023,What will CPI inflation be in April?,,909026.0
117,4,Financials,INXW-23APR28,True,INXW,2023-04-28T20:00:00Z,,"On Apr 28, 2023","What will the value of the S&P 500 be at the end of Apr 28, 2023",,891900.0
118,25,Financials,INXW-22DEC02,True,INXW,,,"On Dec 2, 2022","What will the value of the S&P 500 be at the end of Dec 2, 2022",,882183.0
119,22,Economics,CPI-22JAN,False,CPI,,,In January 2022,What will **January's inflation** be?,,827404.0
120,16,Financials,NASDAQ100W-23FEB03,True,NASDAQ100W,2023-02-03T21:00:00Z,,"On Feb 3, 2023","What will the value of the Nasdaq-100 be at the end of Feb 3, 2023",,809511.0
121,11,Economics,CPI-22DEC,False,CPI,,December 2022,In December 2022,What will CPI inflation be in December?,,792509.0
122,320,Financials,EURUSD-22AUG25-18,True,EURUSD,,,"6 PM EDT on August 25, 2022","What will the Euro/USD exchange rate be on August 25, 2022 at 6 PM?",,791353.0
123,25,Financials,NASDAQ100W-22DEC02,True,NASDAQ100W,,,"On Dec 2, 2022","What will the value of the Nasdaq-100 be at the end of Dec 2, 2022",,761905.0
124,23,Financials,INXW-22DEC16,True,INXW,,,"On Dec 16, 2022","What will the value of the S&P 500 be at the end of Dec 16, 2022",,728380.0
125,21,Economics,CPI-22FEB,False,CPI,,,In February 2022,What will **February's inflation** be?,,719199.0
126,19,Financials,INXW-23JAN13,True,INXW,2023-01-13T21:00:00Z,,"On Jan 13, 2023","What will the value of the S&P 500 be at the end of Jan 13, 2023",,714586.0
127,14,Financials,INXW-23FEB17,True,INXW,2023-02-17T21:00:00Z,,"On Feb 17, 2023","What will the value of the S&P 500 be at the end of Feb 17, 2023",,703986.0
128,30,Financials,NASDAQ100W-22OCT28,True,NASDAQ100W,,,"On Oct 28, 2022","What will the value of the Nasdaq-100 be at the end of Oct 28, 2022",,700639.0
129,45,Economics,GAS-22JUN20,False,GAS,,,"On Jun 20, 2022","What will the **price of gas** be on June 20, 2022?",,695115.0
130,9,Economics,EURO-22APR15,True,EURO,,,"On April 15, 2022","What will the **Euro/USD exchange rate** be on April 15, 2022??",,660194.0
131,7,Economics,CPICORE-23APR,False,CPICORE,,April 2023,Apr 2023,What will core CPI inflation be in April?,,621199.0
132,8,Economics,CPI-23MAR,False,CPI,,March 2023,In March 2023,What will CPI inflation be in March?,,617412.0
133,13,Economics,CPICORE-22OCT,False,CPICORE,,,Oct 2022,What will core CPI inflation be in October?,,605318.0
134,1,Economics,FED-23NOV,False,FED,2023-11-01T12:00:00Z,,November 2023 meeting,How much will the Federal Reserve increase interest rates?,,596374.0
135,59,Economics,GAS-22MAR14,False,GAS,,,"On Mar 14, 2022",What will the **price of gas** be on Mar 14?,,589379.0
136,25,Economics,CPI-21OCT,False,CPI,,,In October 2021,What will **October's inflation** be?,,584873.0
137,32,Financials,NASDAQ100W-22OCT14,True,NASDAQ100W,,,"On Oct 14, 2022","What will the value of the Nasdaq-100 be at the end of Oct 14, 2022",,582345.0
138,7,Financials,NASDAQ100W-23APR06,True,NASDAQ100W,2023-04-06T20:00:00Z,,"On Apr 6, 2023","What will the value of the Nasdaq-100 be at the end of Apr 6, 2023",,581795.0
139,5,Financials,INXW-23APR21,True,INXW,2023-04-21T20:00:00Z,,"On Apr 21, 2023","What will the value of the S&P 500 be at the end of Apr 21, 2023",,562372.0
140,31,Financials,WTIW-22OCT07,True,WTIW,,,"On Oct 7, 2022","What will the West Texas Intermediate oil front-month settle price be for Oct 7, 2022?",,557780.0
141,9,Economics,CPI-23FEB,False,CPI,,February 2023,In February 2023,What will CPI inflation be in February?,,552605.0
142,306,Financials,EURUSD-22SEP0718,True,EURUSD,,,"6 PM EDT on September 07, 2022","What will the Euro/USD exchange rate be on September 07, 2022 at 6 PM?",,538427.0
143,0,Economics,FED-23DEC,False,FED,2023-12-13T12:00:00Z,,December 2023 meeting,How much will the Federal Reserve increase interest rates?,,535675.0
144,312,Financials,EURUSD-22AUG31-18,True,EURUSD,,,"6 PM EDT on August 31, 2022","What will the Euro/USD exchange rate be on August 31, 2022 at 6 PM?",,522080.0
145,332,Financials,EURUSD-22AUG17-18,True,EURUSD,,,"6 PM EDT on August 17, 2022","What will the Euro/USD exchange rate be on August 17, 2022 at 6 PM?",,501797.0
146,2,Economics,GDP-23APR27,False,GDP,,2023 Q1,In 2023 Q1,US GDP,,489567.0
147,14,Economics,CPICORE-22SEP,False,CPICORE,,,Sep 2022,What will core CPI inflation be in September?,,482970.0
148,2,Economics,FED-23SEP,False,FED,2023-09-20T12:00:00Z,,September 2023 meeting,How much will the Federal Reserve increase interest rates?,,478893.0
149,68,Financials,WTI-23JAN25,True,WTI,2023-01-25T19:30:00Z,,"On Jan 25, 2023","What will the West Texas Intermediate oil front-month settle price be for Jan 25, 2023?",,463295.0
150,18,Financials,INXW-23JAN20,True,INXW,2023-01-20T21:00:00Z,,"On Jan 20, 2023","What will the value of the S&P 500 be at the end of Jan 20, 2023",,457545.0
151,20,Financials,INXW-23JAN06,True,INXW,2023-01-06T21:00:00Z,,"On Jan 6, 2023","What will the value of the S&P 500 be at the end of Jan 6, 2023",,454742.0
152,6,Economics,TNOTE-22APR18,False,TNOTE,,,"On April 18, 2022",What will the **ten-year Treasury note** rate be on April 18?,,451302.0
153,27,Financials,NASDAQ100W-22NOV18,True,NASDAQ100W,,,"On Nov 18, 2022","What will the value of the Nasdaq-100 be at the end of Nov 18, 2022",,441256.0
154,2,Financials,EURO-22JUN17,True,EURO,,,"On June 17, 2022","What will the **Euro/USD exchange rate** be on June 17, 2022?",,440178.0
155,46,Economics,GAS-22JUN13,False,GAS,,,"On Jun 13, 2022","What will the **price of gas** be on June 13, 2022?",,436937.0
156,313,Financials,EURUSD-22AUG31-10,True,EURUSD,,,"10 AM EDT on August 31, 2022","What will the Euro/USD exchange rate be on August 31, 2022 at 10 AM?",,415770.0
157,17,Financials,INXW-23JAN27,True,INXW,2023-01-27T21:00:00Z,,"On Jan 27, 2023","What will the value of the S&P 500 be at the end of Jan 27, 2023",,411791.0
158,51,Financials,EURUSDH-23MAR0815,False,EURUSDH,2023-03-08T20:00:00Z,,"Mar 8, 2023 at 3pm EST","What will the Euro/USD exchange rate be on Mar 8, 2023 at 3pm EST?",,406730.0
159,17,Financials,NASDAQ100W-23JAN27,True,NASDAQ100W,2023-01-27T21:00:00Z,,"On Jan 27, 2023","What will the value of the Nasdaq-100 be at the end of Jan 27, 2023",,406238.0
160,132,Financials,WTI-22OCT03,True,WTI,,,"On Oct 3, 2022","What will the West Texas Intermediate oil front-month settle price be for Oct 3, 2022?",,402379.0
161,21,Financials,INXW-22DEC30,True,INXW,2022-12-30T21:00:00Z,,"On Dec 30, 2022","What will the value of the S&P 500 be at the end of Dec 30, 2022",,397021.0
162,0,Economics,GDPCN-22,False,GDPCN,,2022,In 2022,How much will **China's GDP** grow in 2022?,,396510.0
163,317,Financials,EURUSD-22AUG29-10,True,EURUSD,,,"10 AM EDT on August 29, 2022","What will the Euro/USD exchange rate be on August 29, 2022 at 10 AM?",,395621.0
164,304,Financials,EURUSD-22SEP0818,True,EURUSD,,,"6 PM EDT on September 08, 2022","What will the Euro/USD exchange rate be on September 08, 2022 at 6 PM?",,394089.0
165,3,Financials,EURO-22JUN10,True,EURO,,,"On June 10, 2022","What will the **Euro/USD exchange rate** be on June 10, 2022?",,392192.0
166,3,Economics,GDP-232022 Q4,False,GDP,,2022 Q4,In 2022 Q4,US GDP,,391676.0
167,13,Financials,WTIW-23FEB17,True,WTIW,2023-02-17T19:30:00Z,,"On Feb 17, 2023","What will the West Texas Intermediate oil front-month settle price be for Feb 17, 2023?",,380043.0
168,49,Financials,EURUSDH-23MAR1015,False,EURUSDH,2023-03-10T20:00:00Z,,"Mar 10, 2023 at 3pm EST","What will the Euro/USD exchange rate be on Mar 10, 2023 at 3pm EST?",,375355.0
169,10,Economics,CPI-23JAN,False,CPI,,January 2023,In January 2023,What will CPI inflation be in January?,,364243.0
170,5,Economics,TNOTE-22APR25,False,TNOTE,,,"On April 25, 2022",What will the **ten-year Treasury note** rate be on April 25?,,357330.0
171,8,Economics,GDP-21SEP30,False,GDP,,,In 2021 Q3,Will real GDP increase by more than 6% in Q3?,,353322.0
172,305,Financials,EURUSD-22SEP0810,True,EURUSD,,,"10 AM EDT on September 08, 2022","What will the Euro/USD exchange rate be on September 08, 2022 at 10 AM?",,352893.0
173,40,Financials,WTI-23MAR15,True,WTI,2023-03-15T18:30:00Z,,"On Mar 15, 2023","What will the West Texas Intermediate oil front-month settle price be for Mar 15, 2023?",,343594.0
174,20,Financials,NASDAQ100W-23JAN06,True,NASDAQ100W,2023-01-06T21:00:00Z,,"On Jan 6, 2023","What will the value of the Nasdaq-100 be at the end of Jan 6, 2023",,338280.0
175,0,Economics,FEDDECISION-23JUN,True,FEDDECISION,2023-06-14T18:00:00Z,,June 2023 meeting,What will the Federal Reserve do at their June 2023 meeting?,,334147.0
176,24,Economics,CPI-21NOV,False,CPI,,,In November 2021,What will **November's inflation** be?,,329411.0
177,322,Financials,EURUSD-22AUG24-18,True,EURUSD,,,"6 PM EDT on August 24, 2022","What will the Euro/USD exchange rate be on August 24, 2022 at 6 PM?",,327692.0
178,22,Financials,NASDAQ100W-22DEC23,True,NASDAQ100W,2022-12-23T12:00:00Z,,"On Dec 23, 2022","What will the value of the Nasdaq-100 be at the end of Dec 23, 2022",,325366.0
179,0,Economics,GDPEU-22,False,GDPEU,,2022,In 2022,How much will **the European Union's GDP** grow in 2022?,,314293.0
180,23,Financials,NASDAQ100W-22DEC16,True,NASDAQ100W,,,"On Dec 16, 2022","What will the value of the Nasdaq-100 be at the end of Dec 16, 2022",,312813.0
181,108,Financials,WTI-22NOV14,True,WTI,,,"On Nov 14, 2022","What will the West Texas Intermediate oil front-month settle price be for Nov 14, 2022?",,312170.0
182,3,Economics,HOMEUS-22AUG,False,HOMEUS,,,In August,How much will single-family home prices rise in the US in August?,,311384.0
183,14,Financials,NASDAQ100W-23FEB17,True,NASDAQ100W,2023-02-17T21:00:00Z,,"On Feb 17, 2023","What will the value of the Nasdaq-100 be at the end of Feb 17, 2023",,298315.0
